R,ET,EV,EJ,EX,EN,E_TOTAL
0.5,1.428359932897721,-4.600746155788427,1.5145007608303138,-0.6806112394118277,2.0,-0.3384967014722191
0.6,1.396902583219238,-4.493325008827516,1.499471115893347,-0.6740628567193399,1.6666666666666667,-0.6043474997676042
0.7,1.3660245169725598,-4.385111924343673,1.4832667574785119,-0.6669315612296003,1.4285714285714286,-0.7741807825507732
0.8,1.3365230903179877,-4.278307555015097,1.466121092336796,-0.6593798587276093,1.25,-0.8850432310879226
0.9,1.3089596477971221,-4.1744304503243,1.4480514095065773,-0.6515510393682962,1.1111111111111112,-0.9578593212777853
1.0,1.283717068760349,-4.074502077419892,1.4291756130528304,-0.643569991769145,1.0,-1.0051793873758577
1.1,1.2610426548383076,-3.9791818073912966,1.4096762440829067,-0.635544679045637,0.9090909090909091,-1.03491667842481
1.2000000000000002,1.2410801778286726,-3.8888654873428634,1.3897488659867758,-0.627567831814116,0.8333333333333333,-1.052270942008198
1.3,1.2238939270807716,-3.8037575029761515,1.3695751966667622,-0.6197186237068807,0.7692307692307692,-1.060776233704729
1.4,1.2094868606378342,-3.7239235268465483,1.3493142108099623,-0.6120642060418294,0.7142857142857143,-1.0629009471548665
1.5,1.1978144175379153,-3.649329181416937,1.3291021413024677,-0.6046610558732516,0.6666666666666666,-1.060407011783139
1.6,1.1887951427963213,-3.579868422173361,1.3090558768810658,-0.5975561280117294,0.625,-1.0545735305077033
1.7000000000000002,1.1823189752173917,-3.5153844146182474,1.2892769607533552,-0.5907878253449232,0.588235294117647,-1.0463410098747767
1.8,1.1782538238359155,-3.455684930446098,1.269854885095383,-0.584386814176118,0.5555555555555556,-1.0364074801353624
1.9000000000000001,1.1764508911670521,-3.400553743481021,1.250869250863923,-0.578376714216977,0.5263157894736842,-1.0252945261933388
2.0,1.176749075737802,-3.3497591081453777,1.2323909148213703,-0.5727746922602063,0.5,-1.013393809846412
2.1,1.1789786918652985,-3.3030601116181915,1.2144824478262861,-0.5675919885555818,0.47619047619047616,-1.0010004842917128
2.2,1.1829646736130426,-3.2602114763228247,1.19719814500583,-0.5628343988640201,0.45454545454545453,-0.9883376020225174
2.3,1.188529376723278,-3.2209672311415587,1.1805837096875351,-0.5585027379053057,0.4347826086956522,-0.9755742739403993
2.4000000000000004,1.1954950530419455,-3.1850835528788233,1.1646757356296615,-0.5545932772747041,0.41666666666666663,-0.9628393748152536
2.5,1.2036860435300127,-3.1523209932594676,1.1495011775127626,-0.5510982065922815,0.4,-0.9502319788089738
2.6,1.2129307161223222,-3.1224462433896805,1.1350770197612994,-0.5480060827806607,0.3846153846153846,-0.9378292056713349
2.7,1.2230631616703462,-3.095233541451135,1.1214103049000457,-0.5453022918502352,0.37037037037037035,-0.9256919963606077
2.8000000000000003,1.2339246535340767,-3.070465796242566,1.1084985982150541,-0.5429695194514534,0.3571428571428571,-0.9138692068020317
2.9000000000000004,1.2453648728422217,-3.047935475867321,1.0963308771019127,-0.5409882200906182,0.3448275862068965,-0.9024003598069081
3.0,1.2572429009571122,-3.0274452949728325,1.0848887586989797,-0.5393370798619818,0.3333333333333333,-0.8913173818453892
