R,sum_ek,mEJ,EN,E_total
0.5,-0.7915858816222946,-1.5145007608303138,2.0,-0.3060866424526085
0.6,-0.7394448192685745,-1.499471115893347,1.6666666666666667,-0.5722492684952549
0.7,-0.6877268078708516,-1.4832667574785119,1.4285714285714286,-0.7424221367779349
0.8,-0.6375230978593358,-1.466121092336796,1.25,-0.8536441901961318
0.9,-0.5898927829124001,-1.4480514095065773,1.1111111111111112,-0.926833081307866
1.0,-0.5453575842387822,-1.4291756130528304,1.0,-0.9745331972916125
1.1,-0.5040673110973058,-1.4096762440829067,0.9090909090909091,-1.0046526460893035
1.2000000000000002,-0.46597122688741655,-1.3897488659867758,0.8333333333333333,-1.0223867595408591
1.3,-0.4309213956160275,-1.3695751966667622,0.7692307692307692,-1.0312658230520206
1.4,-0.3987265360571983,-1.3493142108099623,0.7142857142857143,-1.0337550325814462
1.5,-0.3691781535343259,-1.3291021413024677,0.6666666666666666,-1.0316136281701271
1.6,-0.3420625999117932,-1.3090558768810658,0.625,-1.026118476792859
1.7000000000000002,-0.317166589651215,-1.2892769607533552,0.588235294117647,-1.0182082562869232
1.8,-0.2942802070633388,-1.269854885095383,0.5555555555555556,-1.0085795366031662
1.9000000000000001,-0.27319931650705354,-1.250869250863923,0.5263157894736842,-0.9977527778972924
2.0,-0.25372790967931735,-1.2323909148213703,0.5,-0.9861188245006876
2.1,-0.23568032272468464,-1.2144824478262861,0.47619047619047616,-0.9739722943604946
2.2,-0.21888327352099823,-1.19719814500583,0.45454545454545453,-0.9615359639813736
2.3,-0.2031778044768351,-1.1805837096875351,0.4347826086956522,-0.948978905468718
2.4000000000000004,-0.18842110217251107,-1.1646757356296615,0.41666666666666663,-0.936430171135506
2.5,-0.17448802955372156,-1.1495011775127626,0.4,-0.923989207066484
2.6,-0.16127204277396012,-1.1350770197612994,0.3846153846153846,-0.9117336779198748
2.7,-0.14868528602854036,-1.1214103049000457,0.37037037037037035,-0.8997252205582157
2.8000000000000003,-0.13665777432738446,-1.1084985982150541,0.3571428571428571,-0.8880135153995815
2.9000000000000004,-0.12513572509805304,-1.0963308771019127,0.3448275862068965,-0.8766390159930693
3.0,-0.11407923839107681,-1.0848887586989797,0.3333333333333333,-0.8656346637567232
