File Name,ET,EV,EJ,ENuc,Ex,HF
H2_HFS_STO6G/H2_HFS_STO6G_R05.out,1.428104,-4.600081,1.513776,2.0,-0.648203,-0.3064234
H2_HFS_STO6G/H2_HFS_STO6G_R06.out,1.396574,-4.492599,1.499497,1.666667,-0.641963,-0.5718348
H2_HFS_STO6G/H2_HFS_STO6G_R07.out,1.365686,-4.384393,1.483611,1.428571,-0.635171,-0.7416994
H2_HFS_STO6G/H2_HFS_STO6G_R08.out,1.336229,-4.277656,1.466416,1.25,-0.62798,-0.8529921
H2_HFS_STO6G/H2_HFS_STO6G_R09.out,1.308703,-4.173837,1.44818,1.111111,-0.620524,-0.9263684
H2_HFS_STO6G/H2_HFS_STO6G_R10.out,1.283453,-4.073918,1.429149,1.0,-0.612924,-0.9742405
H2_HFS_STO6G/H2_HFS_STO6G_R11.out,1.260738,-3.978567,1.409539,0.909091,-0.60528,-1.0044796
H2_HFS_STO6G/H2_HFS_STO6G_R12.out,1.240728,-3.888212,1.389545,0.833333,-0.597682,-1.0222866
H2_HFS_STO6G/H2_HFS_STO6G_R13.out,1.223514,-3.803082,1.36934,0.769231,-0.590206,-1.0312039
H2_HFS_STO6G/H2_HFS_STO6G_R14.out,1.209107,-3.723254,1.349074,0.714286,-0.582916,-1.0337037
H2_HFS_STO6G/H2_HFS_STO6G_R15.out,1.197457,-3.648686,1.328881,0.666667,-0.575867,-1.0315475
H2_HFS_STO6G/H2_HFS_STO6G_R16.out,1.188467,-3.579256,1.308878,0.625,-0.569102,-1.0260122
H2_HFS_STO6G/H2_HFS_STO6G_R17.out,1.182012,-3.514794,1.289167,0.588235,-0.562657,-1.0180367
H2_HFS_STO6G/H2_HFS_STO6G_R18.out,1.177949,-3.4551,1.269837,0.555556,-0.556561,-1.0083189
H2_HFS_STO6G/H2_HFS_STO6G_R19.out,1.176129,-3.399955,1.250965,0.526316,-0.550836,-0.9973819
H2_HFS_STO6G/H2_HFS_STO6G_R20.out,1.176394,-3.349133,1.232617,0.5,-0.5455,-0.9856211
H2_HFS_STO6G/H2_HFS_STO6G_R21.out,1.178584,-3.302399,1.214849,0.47619,-0.540562,-0.9733369
H2_HFS_STO6G/H2_HFS_STO6G_R22.out,1.182533,-3.259517,1.197708,0.454545,-0.536029,-0.9607593
H2_HFS_STO6G/H2_HFS_STO6G_R23.out,1.18807,-3.220246,1.181231,0.434783,-0.531903,-0.9480657
H2_HFS_STO6G/H2_HFS_STO6G_R24.out,1.19502,-3.184347,1.165445,0.416667,-0.528179,-0.9353935
H2_HFS_STO6G/H2_HFS_STO6G_R25.out,1.20321,-3.151581,1.150372,0.4,-0.524851,-0.9228495
H2_HFS_STO6G/H2_HFS_STO6G_R26.out,1.212466,-3.121712,1.136021,0.384615,-0.521907,-0.9105173
H2_HFS_STO6G/H2_HFS_STO6G_R27.out,1.222617,-3.094512,1.122398,0.37037,-0.519335,-0.8984618
H2_HFS_STO6G/H2_HFS_STO6G_R28.out,1.2335,-3.06976,1.109499,0.357143,-0.517115,-0.8867335
H2_HFS_STO6G/H2_HFS_STO6G_R29.out,1.244959,-3.047243,1.097316,0.344828,-0.515231,-0.8753712
H2_HFS_STO6G/H2_HFS_STO6G_R30.out,1.256851,-3.026762,1.085834,0.333333,-0.51366,-0.8644041
