File Name,ET,EV,EJ,ENuc,Ex,HF
H2_XALPHA_STO6G/H2_XALPHA_STO6G_R05.out,1.428104,-4.600081,1.513776,2.0,-0.680614,-0.3388345
H2_XALPHA_STO6G/H2_XALPHA_STO6G_R06.out,1.396574,-4.492599,1.499497,1.666667,-0.674061,-0.6039335
H2_XALPHA_STO6G/H2_XALPHA_STO6G_R07.out,1.365686,-4.384393,1.483611,1.428571,-0.66693,-0.7734581
H2_XALPHA_STO6G/H2_XALPHA_STO6G_R08.out,1.336229,-4.277656,1.466416,1.25,-0.659379,-0.8843911
H2_XALPHA_STO6G/H2_XALPHA_STO6G_R09.out,1.308703,-4.173837,1.44818,1.111111,-0.65155,-0.9573946
H2_XALPHA_STO6G/H2_XALPHA_STO6G_R10.out,1.283453,-4.073918,1.429149,1.0,-0.64357,-1.0048867
H2_XALPHA_STO6G/H2_XALPHA_STO6G_R11.out,1.260738,-3.978567,1.409539,0.909091,-0.635544,-1.0347436
H2_XALPHA_STO6G/H2_XALPHA_STO6G_R12.out,1.240728,-3.888212,1.389545,0.833333,-0.627566,-1.0521707
H2_XALPHA_STO6G/H2_XALPHA_STO6G_R13.out,1.223514,-3.803082,1.36934,0.769231,-0.619716,-1.0607142
H2_XALPHA_STO6G/H2_XALPHA_STO6G_R14.out,1.209107,-3.723254,1.349074,0.714286,-0.612062,-1.0628495
H2_XALPHA_STO6G/H2_XALPHA_STO6G_R15.out,1.197457,-3.648686,1.328881,0.666667,-0.60466,-1.0603408
H2_XALPHA_STO6G/H2_XALPHA_STO6G_R16.out,1.188467,-3.579256,1.308878,0.625,-0.597557,-1.0544673
H2_XALPHA_STO6G/H2_XALPHA_STO6G_R17.out,1.182012,-3.514794,1.289167,0.588235,-0.590789,-1.0461695
H2_XALPHA_STO6G/H2_XALPHA_STO6G_R18.out,1.177949,-3.4551,1.269837,0.555556,-0.584389,-1.0361469
H2_XALPHA_STO6G/H2_XALPHA_STO6G_R19.out,1.176129,-3.399955,1.250965,0.526316,-0.578378,-1.0249238
H2_XALPHA_STO6G/H2_XALPHA_STO6G_R20.out,1.176394,-3.349133,1.232617,0.5,-0.572774,-1.0128961
H2_XALPHA_STO6G/H2_XALPHA_STO6G_R21.out,1.178584,-3.302399,1.214849,0.47619,-0.56759,-1.0003649
H2_XALPHA_STO6G/H2_XALPHA_STO6G_R22.out,1.182533,-3.259517,1.197708,0.454545,-0.562831,-0.9875608
H2_XALPHA_STO6G/H2_XALPHA_STO6G_R23.out,1.18807,-3.220246,1.181231,0.434783,-0.558498,-0.9746608
H2_XALPHA_STO6G/H2_XALPHA_STO6G_R24.out,1.19502,-3.184347,1.165445,0.416667,-0.554588,-0.9618025
H2_XALPHA_STO6G/H2_XALPHA_STO6G_R25.out,1.20321,-3.151581,1.150372,0.4,-0.551093,-0.9490921
H2_XALPHA_STO6G/H2_XALPHA_STO6G_R26.out,1.212466,-3.121712,1.136021,0.384615,-0.548003,-0.9366127
H2_XALPHA_STO6G/H2_XALPHA_STO6G_R27.out,1.222617,-3.094512,1.122398,0.37037,-0.545301,-0.9244285
H2_XALPHA_STO6G/H2_XALPHA_STO6G_R28.out,1.2335,-3.06976,1.109499,0.357143,-0.542971,-0.9125892
H2_XALPHA_STO6G/H2_XALPHA_STO6G_R29.out,1.244959,-3.047243,1.097316,0.344828,-0.540992,-0.9011327
H2_XALPHA_STO6G/H2_XALPHA_STO6G_R30.out,1.256851,-3.026762,1.085834,0.333333,-0.539343,-0.8900871
